Name,Explanation,Review
MGRS,MGRS,MGRS
UTM,UTM,UTM
KOORDINAT,KOORDINAT,KOORDINAT
OFFLINE MAP,OFFLINE MAP,OFFLINE MAP
WAYPOINT,WAYPOINT,WAYPOINT
Ballistics,Ballistics,Ballistics
Sniper Calculator,Sniper Calculator,Sniper Calculator
Bullet Drop,Bullet Drop,Bullet Drop
MOA,MOA,MOA
Mil-Dot,Mil-Dot,Mil-Dot
Rangefinder,Rangefinder,Rangefinder
Dope Card,Dope Card,Dope Card
Milyem,Milyem,Milyem
Deployment Countdown,Deployment Countdown,Deployment Countdown
Shift Roster,Shift Roster,Shift Roster
Push to Talk,Push to Talk,Push to Talk
Offline Mesh,Offline Mesh,Offline Mesh
tactical,tactical,tactical
army fitness,army fitness,army fitness
military fitness,military fitness,military fitness
tccp,tccp,tccp
atak,atak,atak
askeri personel,askeri personel,askeri personel
operasyon,operasyon,operasyon
devriye,devriye,devriye
armed forces,armed forces,armed forces
platoon,platoon,platoon
squad,squad,squad
deployment,deployment,deployment
combat,combat,combat
military operation,military operation,military operation
mission,mission,mission
Barracks,Barracks,Barracks
battlefield,battlefield,battlefield
No service area,No service area,No service area
Combat zone,Combat zone,Combat zone
fiziki yeterlilik,fiziki yeterlilik,fiziki yeterlilik
kondisyon testi,kondisyon testi,kondisyon testi
intikal,intikal,intikal
Gozetleme,Gozetleme,Gozetleme
PT test,PT test,PT test
patrol Base,patrol Base,patrol Base
physical training,physical training,physical training
ACFT,ACFT,ACFT
PFT,PFT,PFT
OPSEC,OPSEC,OPSEC
ISR,ISR,ISR
Surveillance,Surveillance,Surveillance
reconnaissance,reconnaissance,reconnaissance
birlik,birlik,birlik
tatbikat,tatbikat,tatbikat
in the field,in the field,in the field
oyak platform,oyak platform,oyak platform
ranger,ranger,ranger
paratroopher,paratroopher,paratroopher
MARCH Algorithm,MARCH Algorithm,MARCH Algorithm
MEDEVAC ,MEDEVAC ,MEDEVAC 
Phonetic Alphabet,Phonetic Alphabet,Phonetic Alphabet
zeroing,zeroing,zeroing
strelok,strelok,strelok
mildot master,mildot master,mildot master
boresight,boresight,boresight
EXIF Remover,EXIF Remover,EXIF Remover
Paratrooper,Paratrooper,Paratrooper
